Module 1 - Introduction to Python,Aggregation Statements for Code Reusability (1534),https://student.emeritus.org/courses/4208/modules/items/823810
Module 1 - Introduction to Python,Codio Coding Activity 1.6 Functions in Python (9000),https://student.emeritus.org/courses/4208/modules/items/823811
Module 1 - Introduction to Python,Knowledge Check 1.5 Introduction to Python Functions (2000),https://student.emeritus.org/courses/4208/modules/items/823812
Module 1 - Introduction to Python,Discussion 1.1 Python Built-In Functions (4000) (Section A),https://student.emeritus.org/courses/4208/modules/items/823813
Module 1 - Introduction to Python,Data Input and Output and Complex Data Structures (1124),https://student.emeritus.org/courses/4208/modules/items/823815
Module 1 - Introduction to Python,Introduction to Python Classes (0527),https://student.emeritus.org/courses/4208/modules/items/823816
Module 1 - Introduction to Python,Knowledge Check 1.6 Reading and Writing Files and Python Classes (4500),https://student.emeritus.org/courses/4208/modules/items/823817
Module 1 - Introduction to Python,Discussion 1.2 Applications of Python Classes (3000) (Section A),https://student.emeritus.org/courses/4208/modules/items/823818
Module 1 - Introduction to Python,Module 1 Wrap-Up,https://student.emeritus.org/courses/4208/modules/items/823820
Module 1 - Introduction to Python,"Codio Coding Assignment 1.1 Module 1 Final Assignment Data Types, Flow Control Statements, Functions, and Objects (12000)",https://student.emeritus.org/courses/4208/modules/items/823821
Module 1 - Introduction to Python,Self-Study Module 1 Flashcards (3000),https://student.emeritus.org/courses/4208/modules/items/823822
Module 1 - Introduction to Python,Module 1 Feedback Survey,https://student.emeritus.org/courses/4208/modules/items/823823
Module 1 - Introduction to Python,Python Coding Resources,https://student.emeritus.org/courses/4208/modules/items/823824
Module 1 - Introduction to Python,Module 1 Q&A Discussion,https://student.emeritus.org/courses/4208/modules/items/823825
Module 1 - Introduction to Python,Additional Resources   ,https://student.emeritus.org/courses/4208/modules/items/823826
Module 1 Solution Files,Module 1 Solution Files,https://student.emeritus.org/courses/4208/modules/items/823827
Module 2 - Python Introduction to NumPy,Module 2 Overview Introduction and Information (0500),https://student.emeritus.org/courses/4208/modules/items/823830
Module 2 - Python Introduction to NumPy,Module Introduction Introduction to NumPy (0257),https://student.emeritus.org/courses/4208/modules/items/823832
Module 2 - Python Introduction to NumPy,Mini-Lesson 2.1 Python Libraries and NumPy (1500),https://student.emeritus.org/courses/4208/modules/items/823833
Module 2 - Python Introduction to NumPy,Introduction to NumPy (0836),https://student.emeritus.org/courses/4208/modules/items/823834
Module 2 - Python Introduction to NumPy,Mini-Lesson 2.2 NumPy Arrays and Basic Functions (1500),https://student.emeritus.org/courses/4208/modules/items/823835
Module 2 - Python Introduction to NumPy,Codio Coding Activity 2.1 NumPy Arrays and Basic Functions (6000),https://student.emeritus.org/courses/4208/modules/items/823836
Module 2 - Python Introduction to NumPy,"NumPy Broadcasts, Views, and Copies (0709)",https://student.emeritus.org/courses/4208/modules/items/823837
Module 2 - Python Introduction to NumPy,Mini-Lesson 2.3 Broadcasting and Copying in NumPy (3000),https://student.emeritus.org/courses/4208/modules/items/823838
Module 2 - Python Introduction to NumPy,2D Arrays in NumPy (0544),https://student.emeritus.org/courses/4208/modules/items/823839
Module 2 - Python Introduction to NumPy,Mini-Lesson 2.4 Two-Dimensional NumPy Arrays (3000),https://student.emeritus.org/courses/4208/modules/items/823840
Module 2 - Python Introduction to NumPy,Codio Coding Activity 2.2 Multidimensional NumPy Arrays (9000),https://student.emeritus.org/courses/4208/modules/items/823841
Module 2 - Python Introduction to NumPy,Knowledge Check 2.1 NumPy Arrays and Memory Allocation (9000),https://student.emeritus.org/courses/4208/modules/items/823842
Module 2 - Python Introduction to NumPy,Self-Study Activity NumPy Checkerboard (0149),https://student.emeritus.org/courses/4208/modules/items/823843
Module 2 - Python Introduction to NumPy,"Probabilities, Densities, and Distributions (0705)",https://student.emeritus.org/courses/4208/modules/items/823845
Module 2 - Python Introduction to NumPy,Mini-Lesson 2.5 Introduction to Probability (3000),https://student.emeritus.org/courses/4208/modules/items/823846
Module 2 - Python Introduction to NumPy,Probability and Frequency in NumPy (0914),https://student.emeritus.org/courses/4208/modules/items/823847
Module 2 - Python Introduction to NumPy,Knowledge Check 2.2 Probabilities and Histograms (6000),https://student.emeritus.org/courses/4208/modules/items/823848
Module 2 - Python Introduction to NumPy,Histograms and Probability Densities (1113),https://student.emeritus.org/courses/4208/modules/items/823849
Module 2 - Python Introduction to NumPy,Mini-Lesson 2.6 Probability Distribution Functions (3000),https://student.emeritus.org/courses/4208/modules/items/823850
